,,P3,x,x,x,,,,,,,,,
,,S1,the man pours,assoc,30150678,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,the man blends,un,38668822,,,,,,,,,
,,,,,,,,,,,,,,
72,relax,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the man relaxes,target,221420479,F1_Verb_intransitive_64,,M3_Verb_intransitive_64,,,7,3,3,
,,P1,the man wrestles,distant,87801520,,,,,,,,,
,,P2,the man researches,distant,45589390,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the man works,coord,107447321,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the man stretches,un,140211604,,,,,,,,,
,,Un,the man runs,un,208693156,,,,,,,,,
,,,,,,,,,,,,,,
75,wash,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the boy washes,target,29601772,F1_Verb_intransitive_67,,M3_Verb_intransitive_67,,,7,6,2,
,,P1,the boy watches,mp,305250251,,,,,,,,,
,,P2,the boy wishes,mp,59821090,,,,,,,,,
,,P3,the boy splashes,distant,229799401,,,,,,,,,
,,S1,the boy brushes (teeth),coord,104853320,,,,,,,,,
,,S2,the boy brushes (hair),coord,290631104,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
76,shower,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the person showers,target,283323347,F1_Verb_intransitive_68,,M3_Verb_intransitive_68,,,7,6,2,
,,P1,the person shivers,close,125317343,,,,,,,,,
,,P2,the person scours,distant,297466739,,,,,,,,,
,,P3,the person shelters,distant,34486207,,,,,,,,,
,,S1,the person shaves,coord,11813344,,,,,,,,,
,,S2,the person washes,assoc,302714480,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,saw,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The workman saws,target,277040582,,M2_Verb_intransitive_73,,,F3_Verb_intransitive_73,3,6,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,the workman paints,coord,239813203,,,,,,,,,
,,S1,The workman hammers,coord,315475769,,,,,,,,,
,,S2,The workman sands,coord,222272809,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
78,stop,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the man stops,target,151801061,,M2_Verb_intransitive_71,,,F3_Verb_intransitive_71,8,5,1,
,,P1,the man mops,mp,342153458,,,,,,,,,
,,P2,the man chops,mp,299655560,,,,,,,,,
,,P3,the man shops,mp,92386033,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the man runs,un,98478128,,,,,,,,,
,,Un,the man cycles,un,81869632,,,,,,,,,
,,,,,,,,,,,,,,
79,talk,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The lady talks,target,126153506,,M2_Verb_intransitive_72,,,F3_Verb_intransitive_72,8,6,1,
,,P1,The lady walks,mp,32278607,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,S1,The lady shouts,coord,123302983,,,,,,,,,
,,S2,The lady sings,coord,32513182,,,,,,,,,
,,S3,The lady whispers,coord,249734869,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,The lady cleans,un,261359645,,,,,,,,,
,,,,,,,,,,,,,,
82,meet,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
