,,Other,tree,other,69106532,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is under the chair,target,46209588,F2_Preposition_sentence_23,,M3_Preposition_sentence_23,,,5,2,2,
,,Foil 1,on the chair,foil 1,2328749,,,,,,,,,
,,Foil 2,by the chair,foil 2,89102154,,,,,,,,,
,,Foil 3,between the chairs,foil 3,69405214,,,,,,,,,
,,Other,cat,other,16409109,,,,,,,,,
,,Other,chair,other,69784520,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the dog is under the bed,target,42172919,F2_Preposition_sentence_24,,M3_Preposition_sentence_24,,,5,2,2,
,,Foil 1,in the bed,foil 1,23267043,,,,,,,,,
,,Foil 2,on the bed,foil 2,24813255,,,,,,,,,
,,Foil 3,by the bed,foil 3,94578602,,,,,,,,,
,,Other,dog,other,38095165,,,,,,,,,
,,Other,bed,other,33724414,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the baby is under the blanket,target,37433095,F2_Preposition_sentence_25,,M3_Preposition_sentence_25,,,5,2,2,
,,Foil 1,in the blanket,foil 1,228668269,,,,,,,,,
,,Foil 2,on the blanket,foil 2,72004771,,,,,,,,,
,,Foil 3,x,x,x,,,,,,,,,
,,Other,baby,other,130223957,,,,,,,,,
,,Other,blanket,other,215048935,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the bird is under the feeder,target,47824540,F2_Preposition_sentence_26,,M3_Preposition_sentence_26,,,5,2,2,
,,Foil 1,in the feeder,foil 1,138011693,,,,,,,,,
,,Foil 2,by the feeder,foil 2,288763802,,,,,,,,,
,,Foil 3,x,x,x,,,,,,,,,
,,Other,bird,other,33965083,,,,,,,,,
,,Other,feeder,other,229248175,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the mouse is under the crop,target,34487284,F2_Preposition_sentence_27,,M3_Preposition_sentence_27,,,5,2,2,
,,Foil 1,in the crop,foil 1,88928725,,,,,,,,,
,,Foil 2,between the crop,foil 2,286191647,,,,,,,,,
,,Foil 3,on the crop,foil 3,294080735,,,,,,,,,
,,Other,mouse,other,38857743,,,,,,,,,
,,Other,crop,other,86288593,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the child is under the furniture,target,310485866,F2_Preposition_sentence_28,,M3_Preposition_sentence_28,,,5,2,2,
,,Foil 1,in the furniture,foil 1,123163021,,,,,,,,,
,,Foil 2,above the furniture,foil 2,168286901,,,,,,,,,
,,Foil 3,x,x,x,,,,,,,,,
,,Other,child,other,40214306,,,,,,,,,
,,Other,furniture,other,33723657,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the plane is under the clouds,target,330795188,F2_Preposition_sentence_29,,M3_Preposition_sentence_29,,,5,2,2,
