,,Un,x,x,,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
22,milk,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,milk,target,33559462,F2_Noun_single_1syll_201,,M2_Noun_single_1syll_201,,,7,7,1,,,,,
,,P1,silk,mp,335717462,,,,,,,,,,,,,
,,P2,mill,mp,376154074,,,,,,,,,,,,,
,,P3,mink,mp,138468362,,,,,,,,,,,,,
,,S1,cheese,assoc,467941654,,,,,,,,,,,,,
,,S2,coffee,assoc,126791708,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
23,clothes,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,clothes,target,222173905,F2_Noun_single_1syll_202,,M2_Noun_single_1syll_202,,,7,7,1,,,,,
,,P1,hose,mp,106051277,,,,,,,,,,,,,
,,P2,nose,mp,30725120,,,,,,,,,,,,,
,,P3,toes,mp,41543275,,,,,,,,,,,,,
,,S1,shop,assoc,258518522,,,,,,,,,,,,,
,,S2,wardrobe,assoc,33723657,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
24,bus,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,bus,target,64567547654,F2_Noun_single_1syll_203,,M2_Noun_single_1syll_203,,,7,7,1,,,,,
,,P1,puss,mp,16409109,,,,,,,,,,,,,
,,P2,bust,mp,334771715,,,,,,,,,,,,,
,,P3,bun,mp,255437584,,,,,,,,,,,,,
,,S1,car,assoc,323450258,,,,,,,,,,,,,
,,S2,train,assoc,214028590,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
25,lift,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,lift,target,20398704,F2_Noun_single_1syll_204,,M2_Noun_single_1syll_204,,,7,7,1,,,,,
,,P1,loft,mp,279318857,,,,,,,,,,,,,
,,P2,gift,mp,53354971,,,,,,,,,,,,,
,,P3,x,x,x,,,,,,,,,,,,,
,,S1,escalator,assoc,235322389,,,,,,,,,,,,,
,,S2,skyscraper,assoc,246847408,,,,,,,,,,,,,
,,Un,stairs,un,90409999,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
26,skin,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,skin,target,260573111,F2_Noun_single_1syll_205,,M2_Noun_single_1syll_205,,,7,7,1,,,,,
,,P1,x,x,x,,,,,,,,,,,,,
,,P2,bin,mp,41314,,,,,,,,,,,,,
,,P3,tin,mp,31871613,,,,,,,,,,,,,
,,S1,skeleton,assoc,233393104,,,,,,,,,,,,,
,,S2,muscles,assoc,295422497,,,,,,,,,,,,,
,,Un,fin,un,182084594,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
27,hat,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,hat,target,1695759612,F2_Noun_single_1syll_206,,M2_Noun_single_1syll_206,,,7,7,1,,,,,
,,P1,bat,mp,2226055,,,,,,,,,,,,,
,,P2,cat,mp,16409109,,,,,,,,,,,,,
,,P3,flat,mp,46214473,,,,,,,,,,,,,
,,S1,hair,assoc,41395810,,,,,,,,,,,,,
,,S2,glasses,assoc,40557715,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
28,roof,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,roof,target,106637366,F2_Noun_single_1syll_216,,M2_Noun_single_1syll_216,,,7,7,1,,,,,
,,P1,tooth,close,382306536,,,,,,,,,,,,,
,,P2,hoof,close,221163019,,,,,,,,,,,,,
,,P3,x,x,x,,,,,,,,,,,,,
,,S1,chimney,assoc,71542111,,,,,,,,,,,,,
,,S2,wall,coord,152469683,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,toothbrush,un,28093608,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
29,sauce,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,sauce,target,34015735,F2_Noun_single_1syll_227,,M2_Noun_single_1syll_227,,,7,7,1,,,,,
,,P1,sword,mp,187830593,,,,,,,,,,,,,
,,P2,saw,mp,20346460,,,,,,,,,,,,,
,,P3,horse,mp,296131085,,,,,,,,,,,,,
,,S1,salt,coord,21575860,,,,,,,,,,,,,
,,S2,x,x,x,,,,,,,,,,,,,
,,Un,pig,un,182523626,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
30,hole,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,hole (in a sock),target,272268626,F2_Noun_single_1syll_237,,M2_Noun_single_1syll_237,,,7,7,1,,,,,
,,P1,mole,mp,260573111,,,,,,,,,,,,,
,,P2,hoe,mp,153540158,,,,,,,,,,,,,
,,P3,hose,mp,106051277,,,,,,,,,,,,,
,,S1,knitting,assoc,360527153,,,,,,,,,,,,,
,,S2,new socks,assoc,249013738,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
31,crowd,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,crowd,target,60003,F2_Noun_single_1syll_238,,M2_Noun_single_1syll_238,,,7,7,1,,,,,
,,P1,cloud,mp,34993927,,,,,,,,,,,,,
,,P2,crown,mp,37385332,,,,,,,,,,,,,
,,P3,loud,close,29662705,,,,,,,,,,,,,
,,S1,empty street,assoc,119690572,,,,,,,,,,,,,
,,S2,traffic,assoc,6000222,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
32,cloud,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,cloud,target,34993927,F2_Noun_single_1syll_239,,M2_Noun_single_1syll_239,,,7,7,1,,,,,
,,P1,crowd,mp,60003,,,,,,,,,,,,,
,,P2,clown,mp,169753799,,,,,,,,,,,,,
,,P3,claw,mp,179789882,,,,,,,,,,,,,
,,S1,plain sky,assoc,119845582,,,,,,,,,,,,,
,,S2,rainfall,assoc,148484927,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
33,ship,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,ship,target,154107677,F2_Noun_single_1syll_240,,M2_Noun_single_1syll_240,,,7,7,1,,,,,
,,P1,chips,close,37659009,,,,,,,,,,,,,
,,P2,sip,mp,1941570,,,,,,,,,,,,,
,,P3,sheep,mp,54959410,,,,,,,,,,,,,
,,S1,captain,assoc,276834866,,,,,,,,,,,,,
,,S2,kayak,assoc,35138139,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
34,kid,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,kid,target,17985635,F2_Noun_single_1syll_241,,M2_Noun_single_1syll_241,,,7,7,1,,,,,
,,P1,lid,mp,365532281,,,,,,,,,,,,,
,,P2,grid,mp,335035877,,,,,,,,,,,,,
,,P3,x,x,x,,,,,,,,,,,,,
,,S1,adult,assoc,2519003,,,,,,,,,,,,,
,,S2,playground,assoc,42543815,,,,,,,,,,,,,
,,Un,kayak,un,35138139,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
35,wood,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,wood,target,256933990,F2_Noun_single_1syll_242,,M2_Noun_single_1syll_242,,,7,7,1,,,,,
,,P1,wool,mp,234180859,,,,,,,,,,,,,
,,P2,hood,mp,326456171,,,,,,,,,,,,,
,,P3,wool,mp,234180859,,,,,,,,,,,,,
,,S1,nest,assoc,261696743,,,,,,,,,,,,,
,,S2,saw,assoc,20346460,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
36,mouth,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,mouth,target,16776497,F2_Noun_single_1syll_243,,M2_Noun_single_1syll_243,,,7,7,1,,,,,
,,P1,south,mp,255437761,,,,,,,,,,,,,
,,P2,mouse,mp,38857743,,,,,,,,,,,,,
,,P3,moth,close,294389513,,,,,,,,,,,,,
,,S1,eye,assoc,25168917,,,,,,,,,,,,,
,,S2,lipstick,assoc,285503072,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
